1_i_1_A 89 11 87 13 88 12 76
1_i_1_B 70 30 70 30 70 30 40
1_i_1_C 77 23 73 27 75 25 50
1_i_1_D 90 10 88 12 89 11 78
1_i_1_E 90 10 90 10 90 10 80
1_i_2_A 90 10 86 14 88 12 76
1_i_2_B 70 30 70 30 70 30 40
1_i_2_C 78 22 76 24 77 23 54
1_i_2_D 88 12 86 14 87 13 74
1_i_2_E 88 12 90 10 89 11 78
1_i_3_A 87 13 87 13 87 13 74
1_i_3_B 70 30 68 32 69 31 38
1_i_3_C 73 27 75 25 74 26 48
1_i_3_D 88 12 86 14 87 13 74
1_i_3_E 85 15 89 11 87 13 74
1_i_4_A 88 12 90 10 89 11 78
1_i_4_B 60 40 60 40 60 40 20
1_i_4_C 72 28 72 28 72 28 44
1_i_4_D 84 16 88 12 86 14 72
1_i_4_E 85 15 89 11 87 13 74
1_i_5_A 89 11 87 13 88 12 76
1_i_5_B 67 33 65 35 66 34 32
1_i_5_C 74 26 70 30 72 28 44
1_i_5_D 91 9 89 11 90 10 80
1_i_5_E 85 15 85 15 85 15 70
144_i_1_A 94 6 92 8 93 7 86
144_i_1_B 84 16 84 16 84 16 68
144_i_1_C 88 12 84 16 86 14 72
144_i_1_D 92 8 90 10 91 9 82
144_i_1_E 95 5 94 6 94 6 88
144_i_2_A 95 5 90 10 92 8 84
144_i_2_B 86 14 86 14 86 14 72
144_i_2_C 81 19 79 21 80 20 60
144_i_2_D 92 8 90 10 91 9 82
144_i_2_E 91 9 93 7 92 8 84
144_i_3_A 89 11 89 11 89 11 78
144_i_3_B 81 19 79 21 80 20 60
144_i_3_C 81 19 83 17 82 18 64
144_i_3_D 94 6 92 8 93 7 86
144_i_3_E 92 8 96 4 94 6 88
144_i_4_A 94 6 96 4 95 5 90
144_i_4_B 82 18 81 19 81 19 62
144_i_4_C 86 14 85 15 85 15 70
144_i_4_D 89 11 93 7 91 9 82
144_i_4_E 90 10 94 6 92 8 84
144_i_5_A 95 5 93 7 94 6 88
144_i_5_B 80 20 80 20 80 20 60
144_i_5_C 84 16 80 20 82 18 64
144_i_5_D 93 7 91 9 92 8 84
144_i_5_E 94 6 92 8 93 7 86
145_i_1_A 94 6 96 4 95 5 90
145_i_1_B 90 10 88 12 89 11 78
145_i_1_C 83 17 87 13 85 15 70
145_i_1_D 96 4 98 2 97 3 94
145_i_1_E 97 3 97 3 97 3 94
145_i_2_A 93 7 92 8 93 7 86
145_i_2_B 86 14 90 10 88 12 76
145_i_2_C 90 10 94 6 92 8 84
145_i_2_D 99 1 97 3 98 2 96
145_i_2_E 94 6 94 6 94 6 88
145_i_3_A 93 7 89 11 91 9 82
145_i_3_B 81 19 79 21 80 20 60
145_i_3_C 91 9 91 9 91 9 82
145_i_3_D 93 7 91 9 92 8 84
145_i_3_E 90 10 90 10 90 10 80
145_i_4_A 93 7 97 3 95 5 90
145_i_4_B 77 23 79 21 78 22 56
145_i_4_C 86 14 86 14 86 14 72
145_i_4_D 96 4 96 4 96 4 92
145_i_4_E 95 5 99 1 97 3 94
145_i_5_A 93 7 97 3 95 5 90
145_i_5_B 86 14 84 16 85 15 70
145_i_5_C 93 7 93 7 93 7 86
145_i_5_D 98 2 94 6 96 4 92
145_i_5_E 97 3 95 5 96 4 92
147_i_1_A 100 0 99 1 100 0 99
147_i_1_B 96 4 94 6 95 5 90
147_i_1_C 96 4 96 4 96 4 92
147_i_1_D 100 0 100 0 100 0 99
147_i_1_E 100 0 100 0 100 0 99
147_i_2_A 98 2 96 4 97 3 94
147_i_2_B 93 7 93 7 93 7 86
147_i_2_C 95 5 91 9 93 7 86
147_i_2_D 96 4 94 6 95 5 90
147_i_2_E 97 3 97 3 97 3 94
147_i_3_A 100 0 100 0 100 0 99
147_i_3_B 93 7 95 5 94 6 88
147_i_3_C 95 5 95 5 95 5 90
147_i_3_D 99 1 95 5 97 3 94
147_i_3_E 99 1 97 3 98 2 96
147_i_4_A 100 0 98 2 99 1 98
147_i_4_B 91 9 90 10 90 10 80
147_i_4_C 93 7 97 3 95 5 90
147_i_4_D 98 2 99 1 99 1 99
